Date,Open,High,Low,Close,Adj Close,Volume
2019-07-05,73.489998,73.660004,72.339996,73.139999,66.110497,3771900
2019-07-08,73.129997,73.550003,73.000000,73.379997,66.327415,2989300
2019-07-09,72.690002,73.290001,72.690002,73.110001,66.083366,3885600
2019-07-10,73.419998,74.080002,73.400002,73.489998,66.426849,2392300
2019-07-11,73.779999,73.910004,73.180000,73.889999,66.788406,2878200
2019-07-12,73.989998,74.430000,73.559998,74.379997,67.231300,2937500
2019-07-15,74.419998,75.519997,73.870003,74.000000,66.887817,2487700
2019-07-16,74.209999,74.639999,73.959999,74.500000,67.339775,3485400
2019-07-17,73.949997,74.139999,73.639999,73.750000,67.048836,2775100
2019-07-18,73.739998,73.949997,73.410004,73.879997,67.167046,2412700
2019-07-19,73.769997,73.879997,72.690002,72.699997,66.094246,2417400
2019-07-22,72.839996,72.980003,72.099998,72.349998,65.776062,2945000
2019-07-23,72.879997,73.150002,72.099998,72.279999,65.712410,3986700
2019-07-24,71.839996,72.320000,71.220001,71.279999,64.803276,3246900
2019-07-25,71.129997,72.220001,71.129997,71.930000,65.394218,4383400
2019-07-26,71.919998,73.779999,71.790001,73.690002,66.994278,4036200
2019-07-29,73.849998,75.669998,73.720001,75.570000,68.703484,4635900
2019-07-30,75.510002,76.410004,74.419998,74.739998,67.948891,5020600
2019-07-31,74.589996,74.930000,71.349998,71.739998,65.221481,5187400
2019-08-01,71.629997,72.470001,71.209999,71.260002,64.785110,4618400
2019-08-02,71.300003,71.769997,70.830002,71.199997,64.730560,3813500
2019-08-05,70.989998,71.230003,68.410004,68.800003,62.548630,5215500
2019-08-06,69.080002,70.169998,68.839996,69.849998,63.503223,4868600
2019-08-07,69.440002,70.769997,68.470001,70.440002,64.039619,4222100
2019-08-08,70.669998,71.769997,70.099998,71.709999,65.194206,2712900
2019-08-09,71.800003,72.089996,70.959999,71.519997,65.021477,2993200
2019-08-12,71.400002,71.400002,70.260002,70.730003,64.303238,2457900
2019-08-13,70.870003,71.949997,70.660004,71.690002,65.176018,2513600
2019-08-14,71.010002,71.739998,70.500000,70.519997,64.112335,3990000
2019-08-15,70.870003,71.680000,70.610001,71.370003,64.885109,3698800
2019-08-16,71.690002,72.500000,71.620003,72.279999,65.712410,2549000
2019-08-19,73.010002,73.260002,72.639999,73.080002,66.439720,2139500
2019-08-20,72.959999,73.279999,72.430000,72.540001,65.948792,2463700
2019-08-21,73.000000,73.169998,72.459999,72.610001,66.012436,2527100
2019-08-22,72.660004,73.290001,72.370003,73.040001,66.403374,1526600
2019-08-23,73.110001,73.879997,71.809998,72.230003,65.666962,3910900
2019-08-26,72.660004,72.940002,72.209999,72.769997,66.157883,1770300
2019-08-27,73.279999,73.730003,73.029999,73.440002,66.767021,2582100
2019-08-28,73.500000,74.070000,73.320000,74.000000,67.276131,2050600
2019-08-29,74.470001,74.550003,73.379997,74.199997,67.457947,1819700
2019-08-30,74.470001,74.510002,73.910004,74.150002,67.412506,2899700
2019-09-03,73.669998,74.550003,73.459999,74.309998,67.557961,1963800
2019-09-04,74.830002,75.000000,74.459999,74.870003,68.067078,2422900
2019-09-05,75.000000,75.000000,74.089996,74.290001,67.539787,3430900
2019-09-06,74.410004,74.709999,74.230003,74.699997,67.912529,2333300
2019-09-09,74.599998,74.599998,72.860001,73.190002,66.539742,5153000
2019-09-10,72.510002,72.519997,71.180000,72.120003,65.566956,4712900
2019-09-11,71.949997,72.860001,71.400002,72.849998,66.230614,2305700
2019-09-12,73.370003,73.860001,72.239998,72.290001,65.721497,2644200
2019-09-13,71.599998,71.720001,70.389999,70.709999,64.285080,4679600
2019-09-16,70.099998,70.389999,68.970001,69.430000,63.121372,4116900
2019-09-17,69.570000,70.699997,69.529999,69.860001,63.512306,3381800
2019-09-18,70.180000,70.809998,69.879997,70.750000,64.321442,3532800
2019-09-19,70.940002,71.110001,70.660004,70.949997,64.503258,3831300
2019-09-20,71.019997,71.260002,70.760002,70.949997,64.503258,4770000
2019-09-23,70.849998,71.720001,70.839996,71.500000,65.003281,3952000
2019-09-24,71.959999,72.930000,71.790001,72.489998,65.903343,4395800
2019-09-25,72.540001,72.800003,71.889999,72.239998,65.676048,2784500
2019-09-26,72.300003,73.080002,72.199997,72.720001,66.112450,2265200
2019-09-27,73.139999,73.349998,72.650002,73.260002,66.603378,3766200
2019-09-30,73.150002,74.279999,73.150002,73.510002,66.830666,3387800
2019-10-01,72.779999,73.209999,71.489998,71.730003,65.212387,3241800
2019-10-02,71.400002,71.849998,70.070000,70.519997,64.112335,3352600
2019-10-03,70.809998,71.410004,70.440002,70.870003,64.430534,2269700
2019-10-04,70.970001,72.139999,70.830002,72.070000,65.521500,2415100
2019-10-07,71.970001,72.180000,71.559998,71.620003,65.112389,2484400
2019-10-08,71.489998,71.580002,70.629997,70.680000,64.257797,2539200
2019-10-09,70.879997,71.120003,70.080002,70.629997,64.212349,1844200
2019-10-10,69.959999,70.879997,69.699997,70.769997,64.339607,2219600
2019-10-11,71.110001,71.120003,70.220001,70.510002,64.103256,2574100
2019-10-14,70.610001,70.790001,69.360001,69.410004,63.103199,2556400
2019-10-15,69.430000,69.519997,68.230003,68.400002,62.184971,4404000
2019-10-16,68.379997,68.379997,67.370003,67.849998,61.684933,4436000
2019-10-17,68.160004,68.650002,67.889999,68.080002,61.894039,3760600
2019-10-18,68.010002,68.290001,67.470001,68.029999,61.848583,4022600
2019-10-21,68.000000,68.379997,67.849998,68.300003,62.094059,2520300
2019-10-22,68.550003,68.599998,66.970001,67.059998,61.352985,3864500
2019-10-23,66.820000,67.699997,66.800003,67.540001,61.792130,4092600
2019-10-24,67.750000,68.540001,67.550003,68.339996,62.524055,4994800
2019-10-25,68.400002,68.750000,68.209999,68.410004,62.588093,3850300
2019-10-28,68.639999,68.699997,66.959999,67.349998,61.618309,4595500
2019-10-29,67.169998,67.959999,67.010002,67.919998,62.139797,3018800
2019-10-30,67.980003,68.639999,67.800003,68.580002,62.743633,2575700
2019-10-31,68.419998,68.959999,67.919998,68.599998,62.761929,4374200
2019-11-01,67.440002,67.500000,65.580002,66.809998,61.124256,6128500
2019-11-04,66.529999,66.980003,65.239998,65.410004,59.843407,6528500
2019-11-05,65.169998,66.190002,64.750000,65.959999,60.346600,5394100
2019-11-06,66.309998,66.889999,66.190002,66.519997,60.858925,4412600
2019-11-07,66.580002,66.940002,65.930000,66.870003,61.179161,4332100
2019-11-08,66.760002,67.059998,66.379997,66.629997,60.959576,3489400
2019-11-11,66.400002,66.800003,65.949997,66.540001,60.877243,2640400
2019-11-12,66.669998,66.970001,66.529999,66.639999,60.968739,3315900
2019-11-13,67.000000,67.080002,66.519997,66.879997,61.188305,3454600
2019-11-14,66.629997,67.010002,66.540001,66.639999,60.968739,2956200
2019-11-15,66.660004,66.739998,66.129997,66.370003,60.721703,5146800
